"FLIGHT_KEY","TAIL_NUMBER","FLIGHT_NUMBER","CANCELLED","DIVERTED","ORIGIN_AIRPORT","DESTINATION_AIRPORT","CUSTOMER_ID","THE_YEAR","THE_MONTH","THE_DAY","DB_SOURCE"
"5018","N3BWAA","84","0","0","JFK","BOS","102","2017","3","21","FLYU_FLIGHTS"
"570","N3DNAA","1664","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"186","N3CFAA","193","0","0","JFK","BOS","107","2017","1","1","FLIGHT_2017"
"1492","N796AA","84","0","0","JFK","BOS","109","2017","1","1","FLIGHT_2017"
"1516","N822AW","1715","0","0","JFK","CLT","100","2017","1","1","FLIGHT_2017"
"2156","N3CEAA","1443","0","0","JFK","BOS","100","2017","1","1","FLIGHT_2017"
"3110","N3DHAA","330","0","0","JFK","CLT","109","2017","1","1","FLIGHT_2017"
"3085","N122US","2069","0","0","JFK","CLT","105","2017","1","1","FLIGHT_2017"
"5106","N3KGAA","1443","1","0","JFK","BOS","102","2017","7","16","FLYU_FLIGHTS"
"4069","N920AT","2680","0","0","JFK","BOS","101","2018","5","12","FLIGHT_2018"
"673","N3EUAA","291","0","1","JFK","AUS","104","2017","1","1","FLIGHT_2017"
"2488","N107US","1919","0","0","JFK","CLT","104","2017","1","1","FLIGHT_2017"
"3287","N3CHAA","67","0","0","JFK","AUS","10","2017","1","1","FLIGHT_2017"
"3925","N950UW","2151","0","0","JFK","BOS","100","2018","3","10","FLIGHT_2018"
"4736","N893AT","2676","0","0","JFK","BOS","109","2018","8","3","FLIGHT_2018"
"4379","N893AT","2680","0","0","JFK","BOS","104","2018","5","20","FLIGHT_2018"
"4992","N3GYAA","291","0","0","JFK","AUS","10","2017","1","3","FLYU_FLIGHTS"
"1093","N918US","670","0","0","JFK","CLT","106","2017","1","1","FLIGHT_2017"
"4265","N988AT","2678","0","0","JFK","BOS","102","2018","6","18","FLIGHT_2018"
"4373","N974AT","2669","0","0","JFK","BOS","100","2018","7","13","FLIGHT_2018"
"639","N3BUAA","84","0","0","JFK","BOS","103","2017","1","1","FLIGHT_2017"
"715","N3DMAA","67","0","0","JFK","AUS","102","2017","1","1","FLIGHT_2017"
"2015","N170US","600","0","0","JFK","CLT","101","2017","1","1","FLIGHT_2017"
"4969","N949UW","2136","0","0","JFK","BOS","101","2018","11","28","FLIGHT_2018"
"3598","N985AT","2678","0","0","JFK","BOS","101","2018","2","6","FLIGHT_2018"
"4767","N957AT","2675","0","0","JFK","BOS","107","2018","8","11","FLIGHT_2018"
"4854","N921AT","2670","0","0","JFK","BOS","107","2018","9","26","FLIGHT_2018"
"788","N3GXAA","1096","0","0","JFK","BOS","107","2017","1","1","FLIGHT_2017"
